id,year,name,consecutive_number,government_body_id,m_code,ministry,org_number,head_count,annual_work_head_count,vat,comment
2161,2007,Myndigheten för skolutveckling,1283,MSU,MSU,Utbildningsdepartementet,202100-5406,171,157,Rätt till kompensation,""
833,2002,Internationella programkontoret för utbildningsområdet,1227,IPRO,IPRO,Utbildningsdepartementet,202100-4854,0,0,Rätt till kompensation,Namnändring 2000-01-01 fr Svenska EU-programkontoret för utbildning och kompetensutveckling
3917,2014,Åklagarmyndigheten,1110,RAK,RAK,Justitiedepartementet,202100-0084,1334,1210,Rätt till kompensation,""
4424,2017,Institutet för rymdfysik,1095,IRF,IRF,Utbildningsdepartementet,202100-3567,102,94,Rätt till kompensation,""
2802,2010,Forum för levande historia,1282,LEHIST,LEHIST,Kulturdepartementet,202100-5356,33,30,Rätt till kompensation,""
6237,2025,Revisorsinspektionen,1231,RI,RI,Finansdepartementet,202100-4805,24,21,Rätt till kompensation,""
3393,2012,Rikspolisstyrelsen,1104,RPS,RPS,Justitiedepartementet,202100-0076,28200,25342,Rätt till kompensation,Avser även den regionala polisorganisationen men omfattar inte SÄPO
1099,2003,Kungl. biblioteket,1028,KB,KB,Utbildningsdepartementet,202100-1710,0,0,Rätt till kompensation,""
3846,2014,Riksarkivet,1004,RA,RA,Kulturdepartementet,202100-1074,521,507,Rätt till kompensation,""
2918,2010,Regionala etikprövningsnämnden i Uppsala,1317,EPU,EPU,Utbildningsdepartementet,202200-1594,0,0,Rätt till kompensation,""
85,1999,Konjunkturinstitutet,1075,KONJ,KONJ,Finansdepartementet,202100-0845,0,0,Rätt till kompensation,""
748,2001,Turistdelegationen,1236,TD,TD,Näringsdepartementet,202100-4425,0,0,Rätt till kompensation,""
422,2000,Riksdagsförvaltningen,1109,RD,RD,Riksdagen och dess verk m.m.,202100-2627,0,0,Rätt till kompensation,Namnändring 000701 fr Riksdagens förvaltningskontor
357,2000,Kärnavfallsfondens styrelse,1240,KAFS,KAFS,Miljödepartementet,202100-4904,0,0,Rätt till kompensation,""
1761,2005,Uppsala universitet,1001,UU,UU,Utbildnings- och kulturdepartementet,202100-2932,5810,5224,Ja,""
928,2002,Riksåklagaren,1110,RAK,RAK,Justitiedepartementet,202100-0084,0,0,Rätt till kompensation,""
1147,2003,Myndigheten för Sveriges nätuniversitet,1276,MNU,MNU,Utbildningsdepartementet,202100-5323,0,0,Rätt till kompensation,Ansl 2002-03-01. Övert DISTUMs uppgifter vad avser utveckling av IT-baserad högskoleutb. på distans.
1715,2005,Statens geotekniska institut,1081,SGI,SGI,Miljö- och samhällsbyggnadsdepartementet,202100-0712,79,73,Rätt till kompensation,""
3319,2012,Kärnavfallsfonden,1240,KAFS,KAFS,Miljödepartementet,202100-4904,0,0,Rätt till kompensation,Namnbyte 2008-01-01 från Kärnavfallsfondens styrelse till Kärnavfallsfonden
