decision_day,daily_decisions,daily_approval_rate,approved_decisions,rejected_decisions,referred_back_decisions,committee_referral_decisions,ma_7day_decisions,ma_30day_decisions,ma_90day_decisions,ma_30day_approval_rate,decisions_last_year,yoy_decisions_change,yoy_decisions_change_pct,decision_year,decision_month,decision_week,decision_day_of_week,parliamentary_period,decision_quarter,time_bucket,rn
2014-11-04,87,2.30,2,85,0,0,30.57,11.67,7.71,26.50,1,86,8600.00,2014,11,45,2,Autumn Session,Q4 2014,2014-11-01 00:00:00+01,1
2014-10-29,44,9.09,4,40,0,0,12.43,6.83,6.11,29.16,32,12,37.50,2014,10,44,3,Autumn Session,Q4 2014,2014-10-01 00:00:00+02,1
2014-09-10,1,100.00,1,0,0,0,6.57,4.27,6.98,28.17,7,-6,-85.71,2014,9,37,3,Autumn Session,Q3 2014,2014-09-01 00:00:00+02,1
2014-08-13,6,0.00,0,6,0,0,4.57,4.40,9.16,22.84,5,1,20.00,2014,8,33,3,Summer Recess,Q3 2014,2014-08-01 00:00:00+02,1
2014-07-28,13,0.00,0,13,0,0,3.71,4.37,11.53,22.84,2,11,550.00,2014,7,31,1,Summer Recess,Q3 2014,2014-07-01 00:00:00+02,1
2014-06-12,1,0.00,0,1,0,0,3.43,4.20,14.96,20.61,1,0,0.00,2014,6,24,4,Late Spring Session,Q2 2014,2014-06-01 00:00:00+02,1
2014-05-08,4,0.00,0,4,0,0,4.71,6.57,23.53,22.79,1,3,300.00,2014,5,19,4,Late Spring Session,Q2 2014,2014-05-01 00:00:00+02,1
2014-04-04,2,50.00,1,1,0,0,8.71,6.43,29.39,35.87,1,1,100.00,2014,4,14,5,Late Spring Session,Q2 2014,2014-04-01 00:00:00+02,1
2014-03-11,16,93.75,15,1,0,0,4.43,11.70,29.03,31.56,4,12,300.00,2014,3,11,2,Spring Session,Q1 2014,2014-03-01 00:00:00+01,1
2014-02-25,5,80.00,4,1,0,0,2.86,31.07,30.23,22.88,72,-67,-93.06,2014,2,9,2,Spring Session,Q1 2014,2014-02-01 00:00:00+01,1
2014-01-22,70,4.29,3,67,0,0,73.29,61.40,38.18,8.91,1,69,6900.00,2014,1,4,3,Winter Recess,Q1 2014,2014-01-01 00:00:00+01,1
2013-12-05,40,0.00,0,40,0,0,46.86,24.87,20.82,9.29,1,39,3900.00,2013,12,49,4,Winter Recess,Q4 2013,2013-12-01 00:00:00+01,1
2013-11-08,4,0.00,0,4,0,0,7.43,33.60,14.39,4.79,2,2,100.00,2013,11,45,5,Autumn Session,Q4 2013,2013-11-01 00:00:00+01,1
2013-10-23,17,0.00,0,17,0,0,16.43,34.47,13.87,23.24,2,15,750.00,2013,10,43,3,Autumn Session,Q4 2013,2013-10-01 00:00:00+02,1
2013-09-18,4,75.00,3,1,0,0,2.14,2.60,7.04,55.83,190,-186,-97.89,2013,9,38,3,Autumn Session,Q3 2013,2013-09-01 00:00:00+02,1
2013-08-27,1,100.00,1,0,0,0,2.71,2.80,7.88,44.76,255,-254,-99.61,2013,8,35,2,Summer Recess,Q3 2013,2013-08-01 00:00:00+02,1
2013-07-03,4,100.00,4,0,0,0,2.86,2.83,8.02,43.10,29,-25,-86.21,2013,7,27,3,Summer Recess,Q3 2013,2013-07-01 00:00:00+02,1
2013-06-05,4,0.00,0,4,0,0,2.57,4.00,16.26,45.93,1,3,300.00,2013,6,23,3,Late Spring Session,Q2 2013,2013-06-01 00:00:00+02,1
2013-05-03,2,0.00,0,2,0,0,2.86,4.53,16.18,41.07,1,1,100.00,2013,5,18,5,Late Spring Session,Q2 2013,2013-05-01 00:00:00+02,1
2013-04-08,5,20.00,1,4,0,0,4.86,3.07,15.87,54.98,3,2,66.67,2013,4,15,1,Late Spring Session,Q2 2013,2013-04-01 00:00:00+02,1
2013-03-04,1,0.00,0,1,0,0,1.86,9.87,33.46,33.11,1,0,0.00,2013,3,10,1,Spring Session,Q1 2013,2013-03-01 00:00:00+01,1
2013-02-08,1,100.00,1,0,0,0,1.43,16.93,34.46,16.55,3,-2,-66.67,2013,2,6,5,Spring Session,Q1 2013,2013-02-01 00:00:00+01,1
2013-01-03,33,21.21,7,26,0,0,21.71,29.33,30.19,31.61,1,32,3200.00,2013,1,1,4,Winter Recess,Q1 2013,2013-01-01 00:00:00+01,1
2012-12-11,105,1.90,2,103,0,0,39.29,11.37,24.58,47.24,1,104,10400.00,2012,12,50,2,Winter Recess,Q4 2012,2012-12-01 00:00:00+01,1
