year,committee,doc_count
2017,NU,276
2017,KrU,210
2017,UU,203
2017,FiU,195
2017,AU,169
2017,FöU,103
2017,Justitiedepartementet,58
2017,Finansdepartementet,42
2017,Socialdepartementet,29
2017,Näringsdepartementet,27
2017,Miljö- och energidepartementet,17
2017,Utrikesdepartementet,14
2017,Utbildningsdepartementet,12
2017,Arbetsmarknadsdepartementet,8
2017,UFöU,6
2017,Kulturdepartementet,4
2017,Statsrådsberedningen,3
2017,Försvarsdepartementet,2
2018,SoU,396
2018,TU,350
2018,MJU,320
2018,JuU,303
2018,UbU,296
2018,SkU,278
2018,NU,248
2018,KU,232
2018,CU,231
2018,SfU,217
2018,KrU,155
2018,FiU,154
2018,UU,133
2018,AU,121
2018,FöU,105
2018,Finansdepartementet,64
2018,Justitiedepartementet,57
2018,Socialdepartementet,35
2018,Näringsdepartementet,24
2018,Miljö- och energidepartementet,20
2018,Utbildningsdepartementet,14
2018,Utrikesdepartementet,13
2018,Arbetsmarknadsdepartementet,10
2018,Kulturdepartementet,9
2018,Försvarsdepartementet,4
2018,Statsrådsberedningen,3
2018,UFöU,3
2018,CKrU,1
2019,SoU,444
2019,TU,405
2019,JuU,398
2019,MJU,359
2019,UbU,303
2019,SkU,302
2019,CU,264
2019,KU,257
2019,NU,246
2019,SfU,202
2019,KrU,185
2019,UU,162
2019,FiU,161
2019,AU,128
2019,FöU,87
2019,Finansdepartementet,61
2019,Justitiedepartementet,42
2019,Socialdepartementet,21
2019,Utrikesdepartementet,16
2019,Utbildningsdepartementet,12
2019,Näringsdepartementet,11
2019,Infrastrukturdepartementet,9
2019,Arbetsmarknadsdepartementet,8
2019,Miljödepartementet,6
2019,UFöU,4
2019,Kulturdepartementet,4
2019,Försvarsdepartementet,3
2019,Statsrådsberedningen,3
2019,Miljö- och energidepartementet,1
2020,SoU,483
2020,TU,452
2020,JuU,421
2020,MJU,396
2020,UbU,335
2020,SkU,335
2020,CU,289
2020,KU,272
2020,NU,270
2020,SfU,247
2020,UU,200
2020,FiU,193
2020,KrU,159
2020,AU,152
2020,FöU,104
2020,Finansdepartementet,71
2020,Justitiedepartementet,50
2020,Socialdepartementet,21
2020,Infrastrukturdepartementet,12
2020,Utrikesdepartementet,10
2020,Näringsdepartementet,10
2020,Utbildningsdepartementet,8
2020,Miljödepartementet,7
2020,Arbetsmarknadsdepartementet,7
2020,UFöU,6
2020,Försvarsdepartementet,4
2020,Statsrådsberedningen,3
2020,Kulturdepartementet,3
2021,SoU,617
2021,TU,538
2021,MJU,533
2021,JuU,464
2021,UbU,364
2021,SkU,345
2021,CU,327
2021,KU,319
2021,NU,308
2021,SfU,281
2021,FiU,202
2021,KrU,186
2021,UU,182
2021,AU,152
2021,FöU,107
2021,Finansdepartementet,76
2021,Justitiedepartementet,41
2021,Socialdepartementet,25
2021,Infrastrukturdepartementet,19
2021,Näringsdepartementet,16
2021,Utbildningsdepartementet,13
2021,Utrikesdepartementet,8
2021,Arbetsmarknadsdepartementet,7
2021,Kulturdepartementet,6
2021,Försvarsdepartementet,4
2021,UFöU,3
2021,Statsrådsberedningen,3
