hjid,activity_name,code,created_date,order_number,process,status,document_activities_document_0
1904989,Hänvisad,HÄN,2016-11-09,0,behandling,inträffat,1904985
2077277,Inlämning,INL,2011-09-23,13,hantering,inträffat,2077276
1358845,Numrering,NUM,2009-09-29,7,hantering,inträffat,1358843
1276142,Granskning,GKD,2001-10-05,3,hantering,inträffat,1276141
1119062,Bordläggning,B,2005-10-13,1,hanvisning,inträffat,1119060
1590656,Hänvisad,HÄN,2014-11-12,0,behandling,inträffat,1590653
3311396,Trycklov,TRY,2003-04-28,60,beredning,inträffat,3311390
1532130,Under beredning,UBE,2012-11-29,30,beredning,planerat,1532116
1432894,Inlämning,INL,2000-10-05,13,hantering,inträffat,1432893
1401542,Granskad,Granskad,2018-04-06,0,behandling,inträffat,1401540
1167866,Hänvisningsförslag,HFÖR,2001-10-05,6,hantering,inträffat,1167864
375471,Bordläggning,B,2001-06-18,1,hanvisning,inträffat,375468
832985,Beslut,BES,2015-12-17,0,"",inträffat,832978
283362,Beredning,UBE,2021-11-11,0,"",inträffat,283361
973894,Hänvisningsförslag,HFÖR,2001-10-05,6,hantering,inträffat,973892
2234015,Inlämnad,INL,2020-10-05,0,behandling,inträffat,2234014
245434,Inlämnad,INL,2025-10-01,0,behandling,inträffat,245433
603054,Hänvisad,HÄN,2023-03-22,0,behandling,inträffat,603051
1054957,Justering,JUS,2003-04-29,40,beredning,inträffat,1054956
2242211,Granskad,Granskad,2022-11-26,0,behandling,inträffat,2242209
858983,Hänvisning,HÄN,2000-10-11,2,hanvisning,inträffat,858979
740100,Hänvisad,HÄN,2017-10-13,0,behandling,inträffat,740097
146462,Inlämning,INL,2012-10-04,13,hantering,inträffat,146461
1362121,Inlämning,INL,2007-09-21,13,hantering,inträffat,1362120
1358991,Bordläggning,B,2010-12-21,2,hanvisning,inträffat,1358990
1108688,Granskad,Granskad,2025-10-06,0,behandling,inträffat,1108686
1267452,Bordläggning,B,2006-11-07,1,hanvisning,inträffat,1267449
1228540,Beslut,BES,2024-05-15,0,"",inträffat,1228532
1375469,Numrering,NUM,2009-10-06,7,hantering,inträffat,1375467
2086119,Utskottsförslag,UFÖR,2001-10-05,4,hantering,inträffat,2086113
2240138,Hänvisningsförslag,HFÖR,2001-10-05,6,hantering,inträffat,2240136
270541,Inlämning,INL,2005-10-05,13,hantering,inträffat,270540
2002991,Bordläggning 1,B1,2014-06-12,1,avgorande,inträffat,2002984
1848260,Justering,JUS,2022-06-16,0,"",inträffat,1848258
714277,Beslut,BES,2018-04-25,0,"",inträffat,714271
2130592,Inlämnad,INL,2018-11-30,0,behandling,inträffat,2130591
2114341,Granskad,Granskad,2020-09-30,0,behandling,inträffat,2114339
3269603,Trycklov till Gotab och webb,TROWE,2008-10-21,70,beredning,inträffat,3269600
162119,Inlämning,INL,2005-10-05,13,hantering,inträffat,162118
325176,Inlämning,INL,2006-10-31,13,hantering,inträffat,325175
1254791,Hänvisad,HÄN,2025-10-15,0,behandling,inträffat,1254788
1318259,Beredning,UBE,2026-01-27,0,"",planerat,1318258
3275604,Bordläggning,B,2000-05-03,1,hanvisning,inträffat,3275602
357753,Inlämnad,INL,2021-04-14,0,behandling,inträffat,357752
1799980,Inlämning,INL,2005-10-05,13,hantering,inträffat,1799979
3323951,Bordläggning,B,2000-10-11,1,hanvisning,inträffat,3323949
591689,Granskad,Granskad,2017-10-05,0,behandling,inträffat,591687
997218,Hänvisad,HÄN,2021-10-14,0,behandling,inträffat,997215
1966374,Behandling,BEH,2012-12-17,3,avgorande,inträffat,1966367
223876,Inlämning,INL,2002-10-23,13,hantering,inträffat,223875
1058982,Granskad,Granskad,2023-10-03,0,behandling,inträffat,1058980
366326,Under beredning,UBE,2001-09-25,30,beredning,inträffat,366325
506554,Bordläggning,B,2007-10-16,1,hanvisning,inträffat,506551
736953,Inlämning,INL,2010-10-20,13,hantering,inträffat,736952
1465676,Hänvisad,HÄN,2021-10-14,0,behandling,inträffat,1465673
648469,Numrering,NUM,2011-10-10,7,hantering,inträffat,648467
2023820,Hänvisad,HÄN,2024-10-15,0,behandling,inträffat,2023817
482661,Under beredning,UBE,2008-03-06,30,beredning,inträffat,482660
621593,Registrering,REG,2001-10-05,2,hantering,inträffat,621588
1337804,Hänvisad,HÄN,2019-10-11,0,behandling,inträffat,1337801
134187,Trycklov,TRY,2001-09-25,60,beredning,inträffat,134180
145541,Beslut,BES,2024-12-17,0,"",inträffat,145534
801181,Granskad,Granskad,2019-10-02,0,behandling,inträffat,801179
528940,Inlämning,INL,2001-10-05,13,hantering,inträffat,528937
1353753,Inlämning,INL,2002-10-23,13,hantering,inträffat,1353752
2194291,Trycklov,TRY,2022-06-17,0,"",inträffat,2194286
432299,Numrering,NUM,2006-10-30,7,hantering,inträffat,432298
721094,Hänvisning,HÄN,2000-10-11,2,hanvisning,inträffat,721090
1951333,Numrering,NUM,2009-10-06,7,hantering,inträffat,1951331
1636224,Numrering,NUM,2001-10-05,7,hantering,inträffat,1636220
900248,Trycklov,TRY,2016-05-16,0,"",inträffat,900244
390954,Bordläggning 1,B1,2002-03-15,1,avgorande,inträffat,390949
131016,Numrering,NUM,2012-10-02,7,hantering,inträffat,131014
1406196,Trycklov,TRY,2021-05-05,0,"",inträffat,1406193
1149012,Avgörande,AVG,2004-02-18,5,avgorande,inträffat,1149005
1388751,Inlämning,INL,2001-10-05,13,hantering,inträffat,1388748
2053819,Inlämning,INL,2004-10-05,13,hantering,inträffat,2053816
1119963,Inlämning,INL,2005-10-05,13,hantering,inträffat,1119962
994654,Inlämning,INL,2010-10-26,13,hantering,inträffat,994651
1265987,Bordläggning,B,2000-10-11,1,hanvisning,inträffat,1265985
1595785,Behandling,BEH,2003-11-12,3,avgorande,inträffat,1595777
647712,Inlämning,INL,2011-10-05,13,hantering,inträffat,647711
369091,Granskad,Granskad,2020-10-06,0,behandling,inträffat,369089
1214995,Hänvisning,HÄN,2003-10-15,2,hanvisning,inträffat,1214992
1083010,Bordlagd,B,2026-05-07,0,behandling,inträffat,1083007
266595,Inlämnad,INL,2020-10-06,0,behandling,inträffat,266594
1936893,Granskad,Granskad,2022-11-23,0,behandling,inträffat,1936891
1223021,Trycklov,TRY,2020-02-13,0,"",inträffat,1223017
2043006,Granskad,Granskad,2020-10-02,0,behandling,inträffat,2043004
711726,Bordläggning 2,B2,2014-06-05,2,avgorande,inträffat,711717
1370693,Numrering,NUM,2012-10-05,7,hantering,inträffat,1370691
120244,Hänvisad,HÄN,2017-10-13,0,behandling,inträffat,120241
590862,Inlämning,INL,2004-10-05,13,hantering,inträffat,590861
837951,Bordläggning 2,B2,2009-02-24,2,avgorande,inträffat,837945
