vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2013-11-01,26,9074,5864,1503,439,1268,26,1963,66.60,16.27,13.74,3.39,55.49,100.00,64.62,16.56,4.84,13.97,100.00
2012-02-01,38,13262,8978,2036,524,1724,38,1963,68.61,15.41,12.31,3.67,55.43,100.00,67.70,15.35,3.95,13.00,100.00
2017-01-01,16,5584,3764,855,255,710,16,1969,68.69,14.74,13.10,3.48,53.58,100.00,67.41,15.31,4.57,12.71,100.00
2021-01-01,22,7678,817,364,49,6448,22,1973,11.49,4.03,84.05,0.43,51.29,100.00,10.64,4.74,0.64,83.98,100.00
2005-01-01,12,4188,2309,1021,126,732,10,1954,55.13,24.38,17.48,3.01,53.75,83.33,55.13,24.38,3.01,17.48,83.33
2016-09-01,4,1396,1049,173,30,144,4,1969,75.15,12.39,10.32,2.15,54.15,100.00,75.14,12.39,2.15,10.32,100.00
2008-11-01,51,17799,10088,4454,481,2776,51,1958,52.94,29.11,15.76,2.20,53.14,100.00,56.68,25.02,2.70,15.60,100.00
2007-10-01,3,1047,437,407,1,202,3,1958,41.41,38.47,20.06,0.08,52.72,100.00,41.74,38.87,0.10,19.29,100.00
2018-03-01,130,45370,27532,7578,3284,6976,128,1970,60.57,16.23,16.27,6.93,54.32,98.15,60.68,16.70,7.24,15.38,98.46
2025-04-01,94,32806,18408,5252,4027,5119,93,1975,55.63,16.12,15.85,12.40,55.92,99.17,56.11,16.01,12.28,15.60,98.94
2010-06-01,38,13262,7346,4369,189,1358,38,1959,59.06,29.59,10.56,0.80,53.01,100.00,55.39,32.94,1.43,10.24,100.00
2019-11-01,20,6980,4577,1384,561,458,20,1973,70.43,17.37,7.17,5.03,52.44,100.00,65.57,19.83,8.04,6.56,100.00
2025-01-01,12,4188,2708,672,242,566,12,1976,64.67,16.05,13.52,5.78,55.59,100.00,64.66,16.05,5.78,13.51,100.00
2023-01-01,5,1745,1099,415,16,215,5,1975,62.98,23.78,12.32,0.92,52.44,100.00,62.98,23.78,0.92,12.32,100.00
2024-01-01,12,4188,2709,715,187,577,12,1975,64.69,17.08,13.78,4.47,52.58,100.00,64.68,17.07,4.47,13.78,100.00
2006-03-01,99,34551,19698,6628,1219,7006,95,1954,57.98,18.92,19.76,3.34,54.41,97.69,57.01,19.18,3.53,20.28,95.96
2024-09-01,4,1396,930,254,15,197,4,1975,66.62,18.20,14.11,1.08,54.44,100.00,66.62,18.19,1.07,14.11,100.00
2003-04-01,58,20242,12506,3436,1416,2884,57,1954,62.22,18.46,14.04,5.28,55.16,99.05,61.78,16.97,7.00,14.25,98.28
2004-04-01,79,27571,16651,4932,1686,4302,77,1954,60.67,17.17,16.25,5.90,54.95,98.30,60.39,17.89,6.12,15.60,97.47
2020-05-01,59,20591,2163,683,380,17365,57,1973,10.71,3.22,84.31,1.77,51.86,97.65,10.50,3.32,1.85,84.33,96.61
2017-12-01,39,13611,8188,2427,1044,1952,38,1969,59.62,19.45,13.66,7.27,53.87,95.83,60.16,17.83,7.67,14.34,97.44
2004-05-01,41,14309,8763,2879,420,2247,40,1954,61.89,19.20,16.78,2.14,55.01,98.61,61.24,20.12,2.94,15.70,97.56
2018-11-01,26,9074,6946,1341,195,592,26,1973,74.41,14.37,8.76,2.46,53.37,100.00,76.55,14.78,2.15,6.52,100.00
2013-12-01,85,29665,19419,5861,1679,2706,85,1963,65.81,18.16,9.79,6.25,55.79,100.00,65.46,19.76,5.66,9.12,100.00
2005-04-01,35,12215,6923,2658,129,2505,33,1954,55.79,24.04,19.12,1.05,54.68,95.83,56.68,21.76,1.06,20.51,94.29
2016-03-01,83,28967,19079,5051,1146,3691,83,1969,65.08,18.21,12.92,3.79,55.11,100.00,65.86,17.44,3.96,12.74,100.00
2021-11-01,18,6282,3972,1515,234,561,17,1973,65.33,22.26,9.73,2.69,52.50,95.00,63.23,24.12,3.72,8.93,94.44
2013-10-01,11,3839,2407,973,37,422,10,1963,66.62,20.75,12.12,0.51,55.59,88.89,62.70,25.35,0.96,10.99,90.91
2015-02-01,22,7678,5377,1015,349,937,22,1969,67.47,14.21,13.33,4.98,55.01,100.00,70.03,13.22,4.55,12.20,100.00
2022-06-01,153,53397,31862,10800,3202,7533,141,1973,58.57,20.32,14.80,6.31,52.63,90.55,59.67,20.23,6.00,14.11,92.16
2013-05-01,100,34900,22639,6740,1504,4017,99,1963,61.95,20.69,11.43,5.93,56.30,93.75,64.87,19.31,4.31,11.51,99.00
