embedded_id_decision_type,embedded_id_org,embedded_id_decision_date,total,committee_winner,reservation_winner
ACKLAMATION,UBU,2008-02-25,15,15,0
RÖSTNING,KU,2023-05-24,1,1,0
ACKLAMATION,FIU,2008-11-05,3,3,0
RÖSTNING,TU,2015-02-19,3,3,0
-,FÖU,2002-03-19,3,0,0
RÖSTNING,SKU,2014-02-24,7,7,0
RÖSTNING,BOU,2002-05-16,4,4,0
RÖSTNING,AU,2025-04-10,5,5,0
RÖSTNING,TU,2007-03-01,3,3,0
RÖSTNING,SKU,2007-12-06,1,1,0
RÖSTNING,CU,2013-03-05,2,2,0
RÖSTNING,JUU,2003-12-04,6,6,0
ACKLAMATION,UU,2009-03-12,1,1,0
ACKLAMATION,CU,2014-06-16,1,1,0
RÖSTNING,CU,2009-12-21,5,5,0
RÖSTNING,SFU,2003-03-25,11,10,1
ACKLAMATION,JUU,2022-02-18,2,2,0
RÖSTNING,NU,2013-04-15,1,1,0
ACKLAMATION,UBU,2006-02-23,38,38,0
ACKLAMATION,LU,2006-02-09,4,4,0
ACKLAMATION,SFU,2025-03-24,1,1,0
RÖSTNING,AU,2004-04-27,6,5,1
ACKLAMATION,NU,2021-03-15,4,4,0
ACKLAMATION,SFU,2014-11-20,1,1,0
