embedded_id_ballot_id,embedded_id_intressent_id,embedded_id_concern,embedded_id_issue,party,first_name,last_name,gender,born_year,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,vote,won,rebel,party_won,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,ballot_type,rm,label,vote_date,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
1EC40C6A-75CA-423B-9C6F-870B85F81A2A,0198917587520,SAKFRÅGAN,3,V,Maj,Karlsson,KVINNA,1980,1969,349,262,27,19,41,t,AVSTÅR,f,f,t,f,75.07,7.74,11.75,5.44,55.01,HUVUD,2014/15,FöU5,2015-03-04,1970,21,1,0,18,2,t,f,4.76,0.00,9.52,85.71,42.86
45A3D2E3-982D-49C9-B9F4-DAA3AF232996,0780069612618,SAKFRÅGAN,2,S,Göran,Persson,MAN,1960,1959,349,174,170,2,3,t,NEJ,f,f,f,f,49.86,48.71,0.86,0.57,53.01,HUVUD,2009/10,CU29,2010-06-09,1959,130,0,129,0,1,f,f,0.00,99.23,0.77,0.00,52.31
02DD242F-4D3A-47DD-9811-1BD9F7F1DC88,0604459858621,SAKFRÅGAN,4,S,Emilia,Töyrä,KVINNA,1985,1969,349,174,117,0,58,t,JA,t,f,t,f,49.86,33.52,16.62,0.00,53.30,HUVUD,2016/17,SkU25,2017-03-29,1969,113,93,0,0,20,t,f,82.30,0.00,17.70,0.00,46.02
0DE82FDB-7D1B-46FC-A6DB-95846A275793,0272604986201,SAKFRÅGAN,2,S,Claes-Göran,Brandin,MAN,1948,1954,349,263,22,0,64,t,JA,t,f,t,f,75.36,6.30,18.34,0.00,53.87,HUVUD,2005/06,FiU8,2006-05-04,1954,144,122,0,0,22,t,f,84.72,0.00,15.28,0.00,50.69
B1E6E627-47CE-11D7-AE2B-000475503867,0114065053815,SAKFRÅGAN,2,V,Rolf,Olsson,MAN,1949,1954,349,287,19,1,42,t,JA,t,f,t,f,82.23,5.44,12.03,0.29,53.87,HUVUD,2002/03,KU17,2003-02-18,1953,30,25,0,0,5,t,f,83.33,0.00,16.67,0.00,50.00
ED91AFA0-473A-49F0-9DB0-871E5A22B73D,0262124593702,SAKFRÅGAN,1,S,Kurt,Kvarnström,MAN,1948,1963,349,291,19,0,39,t,JA,t,f,t,f,83.38,5.44,11.17,0.00,56.16,HUVUD,2012/13,SkU25,2013-05-20,1962,112,100,0,0,12,t,f,89.29,0.00,10.71,0.00,51.79
8F857E8E-D26C-4D4D-BB32-976EAD7818C4,025877594729,SAKFRÅGAN,8,M,John,Widegren,MAN,1980,1975,349,176,21,96,56,t,JA,t,f,t,f,50.43,6.02,16.05,27.51,53.01,HUVUD,2023/24,KrU5,2024-03-20,1976,68,58,0,0,10,t,f,85.29,0.00,14.71,0.00,50.00
9CCFD180-E29C-4444-99EC-62D7061D121B,0144048894712,SAKFRÅGAN,5,M,Ellen,Juntti,KVINNA,1958,1970,349,139,121,41,48,t,NEJ,f,f,f,f,39.83,34.67,13.75,11.75,54.44,HUVUD,2017/18,NU19,2018-06-07,1969,83,0,70,0,13,f,f,0.00,84.34,15.66,0.00,49.40
E7D75131-D558-432E-8A72-CAE33D18B70E,0522054204918,SAKFRÅGAN,1,M,Mattias,Karlsson,MAN,1972,1975,349,189,14,90,56,t,FRÅNVARANDE,f,f,t,f,54.15,4.01,16.05,25.79,52.15,HUVUD,2022/23,MJU14,2023-05-11,1975,68,56,0,0,12,t,f,82.35,0.00,17.65,0.00,51.47
FB3F18A3-AACC-4A73-B5B1-8C915B2014E5,0548089226618,SAKFRÅGAN,2,V,Mats,Einarsson,MAN,1960,1954,349,180,83,2,84,t,NEJ,f,f,f,f,51.58,23.78,24.07,0.57,53.87,HUVUD,2005/06,KU19,2006-05-02,1953,28,0,21,0,7,f,f,0.00,75.00,25.00,0.00,53.57
