table_schema,table_name,column_name
public,view_riksdagen_crisis_resilience_indicators,normal_absence_rate
public,view_riksdagen_crisis_resilience_indicators,normal_period_votes
public,view_riksdagen_crisis_resilience_indicators,party
public,view_riksdagen_crisis_resilience_indicators,person_id
public,view_riksdagen_crisis_resilience_indicators,pressure_performance_assessment
public,view_riksdagen_crisis_resilience_indicators,resilience_classification
public,view_riksdagen_crisis_resilience_indicators,resilience_score
public,view_riksdagen_crisis_resilience_indicators,status
public,view_riksdagen_goverment,active
public,view_riksdagen_goverment,activity_level
public,view_riksdagen_goverment,avg_documents_per_member
public,view_riksdagen_goverment,current_member_size
public,view_riksdagen_goverment,documents_last_year
public,view_riksdagen_goverment,first_assignment_date
public,view_riksdagen_goverment,last_assignment_date
public,view_riksdagen_goverment,name_id
public,view_riksdagen_goverment,total_assignments
public,view_riksdagen_goverment,total_days_served
public,view_riksdagen_goverment,total_documents
public,view_riksdagen_goverment,total_government_bills
public,view_riksdagen_goverment,total_propositions
public,view_riksdagen_goverment_proposals,document_status_url_xml
public,view_riksdagen_goverment_proposals,hangar_id
public,view_riksdagen_goverment_proposals,id
public,view_riksdagen_goverment_proposals,label
public,view_riksdagen_goverment_proposals,made_public_date
public,view_riksdagen_goverment_proposals,number_value
public,view_riksdagen_goverment_proposals,org
public,view_riksdagen_goverment_proposals,status
public,view_riksdagen_goverment_proposals,sub_title
public,view_riksdagen_goverment_proposals,title
public,view_riksdagen_goverment_role_member,active
public,view_riksdagen_goverment_role_member,activity_level
public,view_riksdagen_goverment_role_member,detail
public,view_riksdagen_goverment_role_member,documents_last_year
public,view_riksdagen_goverment_role_member,first_name
public,view_riksdagen_goverment_role_member,from_date
public,view_riksdagen_goverment_role_member,last_name
public,view_riksdagen_goverment_role_member,party
public,view_riksdagen_goverment_role_member,person_id
public,view_riksdagen_goverment_role_member,role_code
public,view_riksdagen_goverment_role_member,role_id
public,view_riksdagen_goverment_role_member,role_type
public,view_riksdagen_goverment_role_member,to_date
public,view_riksdagen_goverment_role_member,total_days_served
public,view_riksdagen_goverment_role_member,total_documents
public,view_riksdagen_goverment_role_member,total_government_bills
public,view_riksdagen_goverment_role_member,total_propositions
public,view_riksdagen_goverment_roles,embedded_id_detail
public,view_riksdagen_goverment_roles,first_assignment_date
public,view_riksdagen_goverment_roles,last_assignment_date
public,view_riksdagen_goverment_roles,role_code
public,view_riksdagen_goverment_roles,total_assignments
public,view_riksdagen_intelligence_dashboard,ballots_last_30_days
public,view_riksdagen_intelligence_dashboard,coalition_assessment
public,view_riksdagen_intelligence_dashboard,crisis_ready_politicians
public,view_riksdagen_intelligence_dashboard,cross_bloc_alliances
public,view_riksdagen_intelligence_dashboard,high_defection_risks
public,view_riksdagen_intelligence_dashboard,high_probability_coalitions
public,view_riksdagen_intelligence_dashboard,highly_connected_politicians
public,view_riksdagen_intelligence_dashboard,intelligence_report_timestamp
public,view_riksdagen_intelligence_dashboard,latest_vote_data
public,view_riksdagen_intelligence_dashboard,low_discipline_politicians
public,view_riksdagen_intelligence_dashboard,low_resilience_politicians
public,view_riksdagen_intelligence_dashboard,parties_gaining_momentum
public,view_riksdagen_intelligence_dashboard,parties_losing_momentum
public,view_riksdagen_intelligence_dashboard,power_brokers
public,view_riksdagen_intelligence_dashboard,stability_assessment
public,view_riksdagen_intelligence_dashboard,volatile_parties
public,view_riksdagen_member_proposals,committee_report_url_xml
public,view_riksdagen_member_proposals,created_date
public,view_riksdagen_member_proposals,document_format
public,view_riksdagen_member_proposals,document_status_url_xml
public,view_riksdagen_member_proposals,document_type
public,view_riksdagen_member_proposals,document_url_html
public,view_riksdagen_member_proposals,document_url_text
public,view_riksdagen_member_proposals,dokument_document_container__0
public,view_riksdagen_member_proposals,hit
public,view_riksdagen_member_proposals,id
public,view_riksdagen_member_proposals,kall_id
public,view_riksdagen_member_proposals,label
public,view_riksdagen_member_proposals,made_public_date
public,view_riksdagen_member_proposals,number_value
public,view_riksdagen_member_proposals,org
public,view_riksdagen_member_proposals,related_id
public,view_riksdagen_member_proposals,rm
public,view_riksdagen_member_proposals,status
public,view_riksdagen_member_proposals,sub_title
public,view_riksdagen_member_proposals,sub_type
public,view_riksdagen_member_proposals,system_date
public,view_riksdagen_member_proposals,temp_label
public,view_riksdagen_member_proposals,title
public,view_riksdagen_party,avg_collaboration_percentage
public,view_riksdagen_party,avg_documents_per_member
public,view_riksdagen_party,committee_focused_members
public,view_riksdagen_party,documents_last_year
